word,행복,기쁨,혐오,슬픔,분노
봉사,39.455782312925166,55.10204081632652,0.0,0.0,5.4421768707483
나눔,34.94423791821561,60.223048327137555,0.0,1.486988847583643,3.3457249070631976
좋았어요,100.0,0.0,0.0,0.0,0.0
즐겁게,44.52830188679245,40.75471698113207,11.320754716981131,0.0,3.396226415094339
명곡,14.285714285714288,0.0,0.0,85.71428571428571,0.0
소녀시대,77.77777777777779,0.0,0.0,22.222222222222225,0.0
영광,7.333333333333333,90.0,0.0,0.0,2.666666666666667
즐거웠다,100.0,0.0,0.0,0.0,0.0
기입,100.0,0.0,0.0,0.0,0.0
니,14.00894187779434,16.09538002980626,26.825633383010434,10.432190760059614,32.63785394932936
행복,80.3148341498675,15.757770460204002,0.0,2.9636173801301102,0.9637780097984099
단,18.846153846153847,24.23076923076923,11.538461538461538,26.923076923076927,18.46153846153846
선배,26.714801444043324,25.992779783393505,21.660649819494587,12.996389891696753,12.635379061371843
미션,60.0,0.0,0.0,0.0,40.0
곡,28.776978417266193,25.899280575539567,0.0,42.44604316546763,2.877697841726619
모두,30.37409268565047,23.115577889447234,23.562255723059742,13.06532663316583,9.882747068676718
고양이,29.03629536921151,15.769712140175216,22.52816020025031,16.02002503128911,16.64580725907384
콜롬비아,100.0,0.0,0.0,0.0,0.0
하피,100.0,0.0,0.0,0.0,0.0
언니,42.879499217527375,30.985915492957744,4.694835680751173,5.633802816901407,15.80594679186228
쿠키스,100.0,0.0,0.0,0.0,0.0
그램,46.240249609984396,23.400936037441497,0.9360374414976598,19.96879875195008,9.453978159126365
바보,28.934010152284266,18.274111675126903,0.0,17.766497461928935,35.025380710659896
사진,37.279774489076814,21.56448202959831,7.399577167019028,21.846370683579984,11.909795630725863
남동생,34.78260869565218,0.0,0.0,26.08695652173913,39.130434782608695
쿠키,50.54945054945056,39.56043956043956,0.0,0.0,9.89010989010989
소녀,26.262626262626267,9.090909090909092,0.0,38.38383838383839,26.262626262626267
신,22.485207100591715,5.325443786982249,44.37869822485207,20.710059171597635,7.100591715976331
뿐,15.537848605577686,7.1713147410358555,29.880478087649397,32.669322709163346,14.741035856573703
지도,18.181818181818183,14.87603305785124,0.0,19.83471074380165,47.107438016528924
실현,31.57894736842105,47.368421052631575,0.0,0.0,21.05263157894737
꿈,41.616509028374885,26.311263972484948,5.159071367153912,18.056749785038694,8.856405846947549
지옥,11.920529801324504,23.841059602649008,0.0,23.841059602649008,40.39735099337748
거기,17.142857142857142,0.0,0.0,8.571428571428571,74.28571428571429
천국,34.946236559139784,48.38709677419355,0.0,9.67741935483871,6.989247311827958
좋은,35.175879396984925,33.54271356783919,2.5125628140703515,23.031825795644888,5.7370184254606365
습관,40.20618556701031,37.113402061855666,0.0,6.185567010309278,16.49484536082474
단지,29.197080291970806,13.138686131386862,21.897810218978105,17.51824817518248,18.248175182481756
하나,23.654485049833887,14.352159468438538,15.9468438538206,23.388704318936878,22.6578073089701
자신감,29.299363057324832,45.85987261146496,19.108280254777068,0.0,5.73248407643312
느낌,27.631578947368418,26.64473684210526,4.9342105263157885,17.434210526315788,23.355263157894733
질,33.33333333333333,15.0,0.0,0.0,51.66666666666667
세상,20.015760441292354,21.98581560283688,26.08353033884948,21.197793538219067,10.717100078802206
샤워,29.166666666666664,0.0,0.0,0.0,70.83333333333334
천하,4.255319148936171,0.0,95.74468085106383,0.0,0.0
무적,100.0,0.0,0.0,0.0,0.0
몰입,14.285714285714285,0.0,0.0,28.57142857142857,57.14285714285714
힘,27.611940298507463,40.298507462686565,11.194029850746269,11.691542288557216,9.20398009950249
소통,48.63553668890236,22.922983626440267,1.8192844147968468,14.918132201334142,11.704063068526379
있다,16.689847009735743,11.265646731571625,33.518776077885946,15.438108484005564,23.08762169680111
인류,17.94871794871795,0.0,38.46153846153847,7.692307692307692,35.8974358974359
아이템,43.75000000000001,56.25,0.0,0.0,0.0
사고,10.326086956521738,9.782608695652174,48.91304347826087,12.5,18.47826086956522
집중,34.188034188034194,15.384615384615385,12.820512820512823,5.128205128205128,32.47863247863248
예,19.230769230769234,46.15384615384615,0.0,7.692307692307692,26.923076923076923
둘,36.15384615384615,6.9230769230769225,0.0,31.538461538461537,25.384615384615383
감행,100.0,0.0,0.0,0.0,0.0
수행,15.686274509803924,35.294117647058826,0.0,23.52941176470588,25.490196078431378
기분,23.501199040767386,33.669064748201436,1.4388489208633093,21.294964028776977,20.095923261390887
일상,41.12024894420983,23.205156701489223,4.000889086463658,16.403645254501004,15.270060013336298
마지막,19.652173913043477,26.608695652173907,5.217391304347826,39.65217391304348,8.869565217391305
수중,100.0,0.0,0.0,0.0,0.0
신선,100.0,0.0,0.0,0.0,0.0
멀리,28.57142857142857,22.040816326530614,12.244897959183673,23.6734693877551,13.46938775510204
